id,timestamp,item,action_or_command,result,status
1,2026-01-05T18:49:57+01:00,Interface traction sign,Negated fluid-side flux in FSI Eulerian forms,Ensures n (solid->fluid) convention uses -kappa_pos*traction_f + kappa_neg*traction_s,cleared
2,2026-01-05T18:49:57+01:00,Aligned interface DOFs,Nudge level-set zeros to avoid aligned edge DOF drop,Interface edges removed; cut elements present; interface integrals active,cleared
3,2026-01-05T18:49:57+01:00,Pressure nullspace,Default PIN_PRESSURE=1 in turek_fsi_fully_eulerian.py,Stabilizes pressure reference (user can pass --no-pin-pressure),cleared
4,2026-01-05T18:49:57+01:00,Interface test setup,Fix VectorFunction component assignment in test (use set_nodal_values),Residual nonzero only when mismatch; matching fields balance,cleared
5,2026-01-05T18:49:57+01:00,Interface mismatch test,Added second test with fluid nonzero/solid zero,Residual on solid DOFs > 1e-6 (test passes),cleared
6,2026-01-05T18:49:57+01:00,Newton trace solid updates,PYCUTFEM_NEWTON_TRACE=1 run requested (vs_neg_*, d_neg_* update norms),Not run yet for extended time,pending
7,2026-01-05T18:49:57+01:00,Tip displacement nonzero,Run FSI time stepping to t>2.2 (dt 0.5/1) and check tip_disp,Compilation/assembly timeouts before time stepping,open
8,2026-01-05T18:34:40.790227+00:00,FSI dt=1 short run (cpp backend),PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp ... --max-steps 3 --dt 1,"Run reached obs for t=0,1 with tip_disp=(0,0); interface edges=0; cut elements=90; killed during step 2",open
9,2026-01-05T18:34:40.790227+00:00,Interface edges count = 0,Inspect aligned-edge detection vs level-set nudging,Edges tagged only when phi≈0 at both endpoints; nudging phi off zero for aligned interface intentionally yields 0 edges while cut elements remain for interface integration,cleared
10,2026-01-05T19:26:04.444564+00:00,Level-set nudging vs aligned edges,Decouple edge tolerance from nodging; disable nudging by default when USE_ALIGNED_INTERFACE=1,Aligned interface edges are preserved (edge tol used for tagging); optional LEVELSET_NUDGE_EPS still available,cleared
11,2026-01-05T19:26:04.444564+00:00,Aligned rectangle interface test,Add dInterface perimeter test on a rectangle aligned with grid,Ensures aligned-edge assembly produces correct perimeter even when cut elements=0,cleared
12,2026-01-05T19:26:34.056397+00:00,Aligned rectangle test run,conda run -n fenicsx python -m pytest tests/ufl/test_interface_segments_aligned.py -k aligned_rectangle,"2 passed (python,jit); 1 PytestCollectionWarning about TestFunction class",cleared
13,2026-01-05T21:38:45+00:00,FSI dt=1 Newton trace (cpp backend),PYCUTFEM_NEWTON_TRACE=1 PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp ... --max-steps 3 --dt 1,"Solid fields vs_neg/d_neg update norms stayed 0 across Newton iterations; reduced system ~fluid-only; run timed out during step 2",open
14,2026-01-05T21:38:45+00:00,Interface mask tolerance,Respect level_set.edge_tol in build_side_masks_by_field and store edge_tol during classify_edges,Aligned interface masks use edge tolerance to avoid dropping interface DOFs,cleared
15,2026-01-05T21:38:45+00:00,Interface segment tolerance,Use LEVELSET_EDGE_TOL for commit/classify/build_interface_segments; tie EDGE_TOL >= UPDATE_TOL; add aligned-interface traction test,"Aligned-interface traction test passes (python/jit); interface segments use consistent tol",open
16,2026-01-06T01:53:52+01:00,Interface traction sign (solid side),Flip solid flux sign and restore fluid sign to match turek_fsi_linear/nonlinear,avg_flux uses kappa_pos*t_f - kappa_neg*t_s (traction continuity),cleared
17,2026-01-06T01:53:52+01:00,Interface traction tests,conda run -n fenicsx python -m pytest tests/ufl/test_fsi_eulerian_interface_traction.py -k traction,"4 passed; 1 PytestCollectionWarning about TestFunction",cleared
18,2026-01-06T01:53:52+01:00,FSI dt=1 short run (cpp backend, post sign fix),PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp ... --max-steps 3 --dt 1,"Timed out during C++ kernel compilation; no obs/tip_disp yet; interface edges=48, cut elements=40",open
19,2026-01-06T09:02:01+01:00,JIT compile_multi aligned-interface edges,Add interface-edge kernel via precompute_ghost_factors(allow_interface=True) and ensure empty cut/edge sets provide gdofs_map,Aligned interface edges now compiled as facet kernels (entity_kind=edge) alongside cut-interface kernels,open
20,2026-01-06T09:08:56+01:00,Aligned interface compile_multi test,Add test_compile_multi_aligned_interface_edges (jit) to ensure interface edges compile to entity_kind=edge kernels,New test verifies aligned edge kernel eids and empty cut-interface kernel when no cut elements,open
21,2026-01-06T09:19:26+01:00,Aligned interface compile_multi test run,conda run -n fenicsx python -m pytest tests/ufl/test_interface_segments_aligned.py -k compile_multi_aligned_interface_edges,"1 passed; 1 PytestCollectionWarning about TestFunction",cleared
22,2026-01-06T09:19:26+01:00,FSI dt=1 run after aligned-interface kernel addition,PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp ... --max-steps 1 --dt 1,"Timed out during cpp kernel compilation before Newton iterations; setup reached interface edges=48 cut=40",open
23,2026-01-06T10:37:51+01:00,Newton step 2 crash (reduceat OOB),Guard reduceat for empty CSR rows in _prune_decoupled_rows_cols (use nonempty starts/ends),Prevents index==nnz when last row has zero entries after level-set reclassification,open
24,2026-01-06T11:35:24.884764+01:00,Interface symmetric pressure sign,Use +test_q_f in FSI interface symmetric flux; add aligned pressure-sign test,Pressure block matches manual form (pytest -k pressure_sign),cleared
25,2026-01-06T11:50:08.441909+01:00,FSI cpp short run after pressure-sign fix,PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp ... --max-steps 2 --dt 0.005 --no-pin-pressure,Timed out after ~10 min; reached Newton 5 in step 1 (|R|_inf ~4.95e-06) but no step 2,open
26,2026-01-06T12:38:58.307035+01:00,Interface term sign audit,Re-derive Nitsche interface terms; pressure in traction uses -q n (no extra sign flip); run full interface traction tests,tests/ufl/test_fsi_eulerian_interface_traction.py: 5 passed (python/jit); sign consistent with n=∇φ/|∇φ|,cleared
27,2026-01-06T12:38:58.307064+01:00,"FSI cpp run (max-steps=3, no pressure pin)",PENALTY_VAL=1e-3 PENALTY_GRAD=1e-3 PYCUTFEM_JIT_BACKEND=cpp ... --max-newton-iter 60 --max-steps 3 --dt 0.005 --no-pin-pressure,"Timed out after ~20 min in step 2 (Newton 34+); residual stuck ~1.75, line search shrinking α to ~1e-92",open
28,2026-01-06T14:12:00+01:00,Line search hard fail,Raise RuntimeError on line-search failure (PYCUTFEM_LS_FAIL_HARD),Stops Newton when no residual decrease unless disabled,cleared
29,2026-01-06T14:12:00+01:00,DT reduction minimum,Add dt_min guard in time stepper and expose DT_MIN in turek_fsi_fully_eulerian.py,Aborts if Δt reduction would drop below dt_min,cleared
30,2026-01-06T14:12:00+01:00,Adjoint traction pressure sign,Use traction_fluid_primal/adjoint in Eulerian interface fluxes; update pressure-sign test,pytest -k pressure_sign passed (1 test),cleared
31,2026-01-06T14:12:00+01:00,Stokes level-set refresh test,Add cut Stokes level-set refresh solve test with inactive DOF tagging,pytest tests/ufl/test_stokes_levelset_refresh.py passed,cleared
32,2026-01-06T14:33:05+01:00,Stokes oscillatory rectangle refresh test,Replace affine LS with oscillating BeamLevelSet; ensure cut+aligned edges, refresh domains/BCs, sliver weights + kappa sum checks,pytest tests/ufl/test_stokes_levelset_refresh.py passed,cleared
33,2026-01-06T14:33:05+01:00,Aligned-edge kappa normalization,Normalize Hansbo weights in stokes_cut/stokes_linear_elasticity_cut and stokes_backend_diagnostics; keep kappa_pos+kappa_neg=1 on aligned edges,Ensures aligned-edge weights not doubled,cleared
34,2026-01-06T14:33:05+01:00,Sliver weight clamp,Clamp theta0>=thetamin and wmax>=1 in refresh_sliver_weights; rerun sliver weight tests,pytest tests/ufl/test_sliver_weights.py passed,cleared
35,2026-01-06T14:33:05+01:00,FSI kappa normalization,Normalize kappa_pos/kappa_neg in turek_fsi_nonlinear and turek_fsi_cauchy_monolithic_full to avoid aligned-edge sum=2,Aligned-edge weights stay normalized across FSI examples,cleared
36,2026-01-06T14:43:43+01:00,Stokes refresh test (oscillatory rectangle, cpp),Increase mesh resolution and oscillate BeamLevelSet center to force aligned edges then sliver cuts; assert counts change and kappa sums=1; add STOKES_REFRESH_BACKEND option,pytest -s tests/ufl/test_stokes_levelset_refresh.py passed for backend=python/cpp,cleared
37,2026-01-06T15:52:55+01:00,Level-set refresh diagnostics,Log max|Δφ| overall/cut and cut/interface counts after LS refresh in turek_fsi_fully_eulerian.py,Adds correlation data for sliver-driven failures,cleared
38,2026-01-06T15:52:55+01:00,Sliver-weighted interface penalty,Scale Nitsche penalty by w_gp_ifc to stiffen sliver cuts in turek_fsi_fully_eulerian.py,Improves robustness against tiny cut fractions,cleared
39,2026-01-06T15:52:55+01:00,Scalar sliver regression test,Add sliver corner/edge test with weighted ghost penalty (AffineLevelSet cases) in tests/ufl/test_sliver_scalar_system.py,pytest tests/ufl/test_sliver_scalar_system.py passed,cleared
40,2026-01-06T16:06:00+01:00,Adaptive dt ignored in JIT kernels,Diagnose dt reduction: dt Constant compiled as literal LoadConstant; add dt as runtime kernel arg via Constant._jit_name + KernelRunner aux scalar injection; pass aux_functions={'dt':dt} in turek_fsi_fully_eulerian.py,"Δt reduction now changes assembled Jacobian/residual for step 2; FD check can be triggered at time step via FD_STEP env var",open
41,2026-01-06T15:53:44+01:00,Scalar sliver test backend toggle,Add SLIVER_SCALAR_BACKEND env selector for tests/ufl/test_sliver_scalar_system.py,Allows cpp backend parity runs,cleared
42,2026-01-07T00:23:22+01:00,FSI step-2 kernel refresh failure,Fix late-bound closures in jit.compile_multi builders and make _merge_static_arrays robust to varying nQ (pad) + scalar per-element arrays,FSI-2 fully Eulerian runs past time step 2 after mesh/level-set refresh (cpp backend) with PYCUTFEM_LEVELSET_REFRESH_RAISE=1,cleared
43,2026-01-07T13:10:00+01:00,Parametric kernel caching,"Introduce shared build_jit_parametrization; IRGenerator parameterizes scalar Constants + EWCs + Restriction domains + Analytic ids; update helpers_jit to supply new args; bump CODEGEN_ABI/CODEGEN_ABI_CPP","Kernel cache keys now depend on expression structure (physics) only; scalar multipliers/Constant.value, BitSet masks, EWC values, Analytic identity no longer force new kernels across volume/interface/ghost/edge/internal-edge.",cleared
44,2026-01-07T13:10:00+01:00,Numba scalar const + Analytic temp naming,"Fix Numba typing by converting scalar constant arrays via .item() at LoadConstantArray; avoid temp name collisions with ana_0/ana_1 by using ana_val_* temps; bump CODEGEN_ABI","Resolved boundary/interface JIT compilation failures caused by 0d scalar arrays and ana_* shadowing; affected tests now pass.",cleared
45,2026-01-07T13:10:00+01:00,Kernel reuse regression tests,Add tests/ufl/test_kernel_parametric_cache.py and run targeted pytest (kernel cache + boundary facets + ghost restriction parity + interface analytic),All targeted tests passed in fenicsx conda env,cleared
46,2026-01-07T14:05:00+01:00,FSI-2 compile_multi scalar ndarray crash,Fix _merge_static_arrays to guard arr.ndim>=1 before indexing shape[0] (skip 0d constant arrays introduced by parametric constants),FSI-2 NewtonSolver kernel compilation no longer crashes with IndexError; cpp backend run reaches and converges through first two time steps (step 2 may trigger dt reduction),cleared
47,2026-01-07T11:50:15+01:00,Runtime Constant.value refresh,"Attach IR parametrization (const_by_name) to KernelRunner and refresh constant arrays at every kernel call; propagate to cpp backend runner delegate; add regression test for jit/cpp",Changing Constant.value now updates kernel inputs without recompiling kernels; full pytest suite passes (311); FSI-2 2-step smoke run converges,cleared
48,2026-01-07T11:50:15+01:00,FSI-2 step-2 Newton iteration comparison,"Run turek_fsi_fully_eulerian.py --max-steps 2 on HEAD and HEAD~2 with isolated PYCUTFEM_CACHE_DIR",Both commits converge time step 2 in 7 Newton iterations at dt=0.005; the earlier “3 iterations” observation corresponds to dt reduction (dt→0.00125) or cache reuse across commits,cleared
49,2026-01-07T16:24:38+01:00,Adaptive dt control,"Add AdaptiveDtController + hook into NewtonSolver.solve_time_interval; fix TimeStepperParameters.final_time default; accept line-search failure near tol","Retry step only on Newton failure/nonconvergence; slow convergence adjusts next dt (default >20 iters) without immediate halving; dt can recover after consecutive easy steps; line-search failures near convergence no longer trigger dt reduction.",cleared
